"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.923336200E2,6.495681830E1,2.552943684E1,8.386999381E0,5.337795454E-1,3.572267728E2,4.736596540E0,3.374787438E0
1.933336371E2,6.495681850E1,2.552945923E1,7.742906883E0,4.338995767E-1,3.853215741E1,4.739237320E0,3.371077966E0
1.943336519E2,6.495682362E1,2.552948833E1,7.953988085E0,7.676982535E-1,4.939867854E1,4.738323619E0,3.372362127E0
1.953336670E2,6.495682225E1,2.552949532E1,8.512844821E0,4.762462236E-1,6.196749229E1,4.736034737E0,3.375575803E0
1.963336822E2,6.495682116E1,2.552948758E1,8.658786377E0,8.036810609E-2,6.569751890E1,4.746985750E0,3.360158229E0
1.973336968E2,6.495682917E1,2.552945216E1,8.703845343E0,9.107386279E-2,5.497603903E1,4.780111004E0,3.312865198E0
1.983337141E2,6.495684030E1,2.552939118E1,9.243051183E0,8.309368321E-1,3.058370171E2,4.777480144E0,3.316658032E0
1.993337252E2,6.495685136E1,2.552930521E1,9.675057990E0,1.859257360E0,2.907206570E2,4.786100529E0,3.304206222E0
2.003337389E2,6.495686190E1,2.552922948E1,9.696990339E0,1.560734608E0,2.909929276E2,4.794109079E0,3.292575765E0
2.013337528E2,6.495685764E1,2.552917189E1,9.440171522E0,1.190248037E0,2.834060275E2,4.792698307E0,3.294628958E0
2.023337661E2,6.495685046E1,2.552913738E1,9.541176904E0,7.050965697E-1,2.715327901E2,4.782321034E0,3.309674086E0
2.033337793E2,6.495684444E1,2.552909358E1,1.009139351E1,6.649810823E-1,2.663346448E2,4.783609147E0,3.307812051E0
2.043337958E2,6.495684692E1,2.552902601E1,1.028577982E1,1.118582853E0,2.707106704E2,4.791922596E0,3.295757101E0
2.053338089E2,6.495682780E1,2.552898879E1,1.073552677E1,1.118828408E0,2.535146874E2,4.820795064E0,3.253378549E0
2.063338176E2,6.495682558E1,2.552896352E1,1.036926088E1,9.998244766E-1,2.581924417E2,4.828511402E0,3.241915279E0
2.073338301E2,6.495683076E1,2.552895777E1,1.050492451E1,7.441153316E-1,2.671388715E2,4.859676662E0,3.195008572E0
2.083338424E2,6.495684480E1,2.552891742E1,1.031206216E1,8.877554085E-1,2.846088957E2,4.864462351E0,3.187717533E0
